Name,Research And Development,Total Operating Expense,Operating Income,"Interest Expense, Net - Operating",Income Tax - Total,Net Income Incl Extra Before Distributions,Preferred Dividends,Basic Normalized EPS,Diluted Normalized EPS,Basic Weighted Average Shares,Diluted Weighted Average Shares,DPS - Common Stock Primary Issue,"Gross Margin, Percent","EBIT Margin, Percent",EBITDA,EBIT,Cash and Short Term Investments,Short Term Investments,"Total Receivables, Net",Total Inventory,Total Current Assets,"Property/Plant/Equipment, Total - Net","Intangibles, Net","Goodwill, Net",Long Term Investments,"Total Assets, Reported",Accounts Payable,Notes Payable/Short Term Debt,Total Current Liabilities,Total Long Term Debt,Total Debt,Total Liabilities,Retained Earnings (Accumulated Deficit),Total Equity,Net Debt Incl. Pref.Stock & Min.Interest,"Other Long Term Assets, Total","Other Liabilities, Total",Depreciation And Amortization,"Cash from Operating Activities, Cumulative","Capital Expenditures, Discrete","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","FOCF Ex Dividends, Discrete","Net Change in Cash, Cumulative","Pretax Margin, Percent",Operating Profit Margin,"Net Profit Margin, (%)",Target
TNA.HM,,5422111349910.0,24825769460.0,91018040940.0,7056512400.0,23733183600.0,,382.71597,382.71597,49232050.0,49232050.0,0.0,3.87726,2.1021017517,119381685610.0,114500160600.0,147397642230.0,60600000000.0,925016321980.0,991295240640.0,2091796621360.0,10547532830.0,27021272310.0,,197590074240.0,2338303036990.0,405216354790.0,1126183528120.0,,,,,,,,,,3035497540.0,91419138000.0,882821910.0,-54572077830.0,-10625954820.0,90536316090.0,26232691810.0,0.47556,,0.33894,1
TMS.HM,,5689241728390.0,692023899530.0,60972382370.0,74951269470.0,570614419060.0,,5954.88159,5954.88159,93678610.0,93678610.0,413.04348,8.56032,5.3034787704,440432970550.0,338429067860.0,1271479841440.0,197798809190.0,1109775931360.0,10230876300.0,2430451915330.0,1103382311970.0,89843184480.0,40687315760.0,2022708112060.0,5734083964760.0,424265596270.0,469039213230.0,1023096214180.0,533607058310.0,843702738500.0,1808903355720.0,918573313290.0,2110681828510.0,383960833250.0,44711205180.0,16371746270.0,2457518340.0,14448950210.0,214270638310.0,-396237209860.0,994960913260.0,-199821688100.0,612949054410.0,10.9046,0.0,8.64315,1
VNM.HM,,48191545025960.0,12727619820190.0,88799090660.0,2289699514440.0,10532477099900.0,,4663.56274,4663.56274,2089930810.0,2089930810.0,2755.0,43.13635,19.277904362,14107193307050.0,11743938337190.0,23374287653820.0,21025735779480.0,5249456042630.0,6773071634020.0,36109910649790.0,12750118285430.0,1086503968330.0,1813007890390.0,803911917510.0,53332403438220.0,4213887652290.0,9361726118120.0,14212646285480.0,167421748880.0,7483918827190.0,17135297942380.0,6909725668450.0,31297182731250.0,-9591064264710.0,738353477730.0,59731299500.0,389882945790.0,9431973563890.0,1531025359270.0,-3933248087210.0,-5257397637790.0,7900948204620.0,237309058770.0,21.2121,0.0,15.49667,0
TYA.HM,,2044684363850.0,82428927460.0,14881250880.0,15460656750.0,66979107980.0,,2183.11074,2183.11074,30680580.0,30680580.0,855.0,7.65164,4.4621265274,109441807780.0,94914486440.0,241898724130.0,143167850350.0,358880838310.0,511107353740.0,1115070776980.0,97360802710.0,79396800.0,,,1215935258930.0,90217748540.0,587055554090.0,414427003750.0,0.0,344229909960.0,414427003750.0,92544042050.0,477766301570.0,93599424450.0,2629201230.0,,,-194678505590.0,9515295120.0,-28545542380.0,189494625630.0,-204193800710.0,-34439672450.0,3.87566,,3.14883,1
DHA.HM,,227801024630.0,109621799580.0,,21978710350.0,90254477580.0,,5883.73414,5883.73414,14726070.0,14726070.0,4750.0,28.17121,23.4091925479,88456855830.0,78987958619.9999,316818126680.0,183246550650.0,69716552980.0,139950000.0,393899760540.0,37578679710.0,42126894980.0,,0.0,531221432240.0,10049811410.0,0.0,41660575280.0,0.0,0.0,46745069790.0,131993166530.0,428691212150.0,-230949633720.0,59430551520.0,5084494510.0,603295230.0,138309874270.0,3179513020.0,2724921000.0,-44183949300.0,135130361250.0,96850845970.0,33.26188,0.0,25.67826,1
ACB.HM,,,,,2395366000000.0,9602746000000.0,,3498.49284,3498.49284,2701948080.0,2701948080.0,,,53.7152110579,14100412000000.0,13724758000000.0,,,,,,2685070000000.0,1077478000000.0,,0.0,527769944000000.0,4637581000000.0,,,22049697000000.0,30843590000000.0,409081941000000.0,7819040000000.0,35448163000000.0,,50724000000.0,4747350000000.0,,39925899000000.0,636100000000.0,-462403000000.0,-2884000000000.0,39289799000000.0,36579496000000.0,35.58812,0.0,28.0382,1
HMC.HM,,3653895970130.0,176668786350.0,10924830940.0,35703332320.0,142094420400.0,,6743.08075,6743.08075,21000000.0,21000000.0,4275.0,6.57388,4.5660920384,178558497320.0,174907112370.0,30289998480.0,9500000000.0,290663568470.0,814214012000.0,1136216140390.0,15335850100.0,9836356450.0,,100109780880.0,1261596127820.0,253972448290.0,193759608930.0,,,,,,,,,,4065283030.0,17587517800.0,548501880.0,1866569990.0,-12552705540.0,17039015920.0,6915261820.0,4.64155,0.0,3.70949,1
IMP.HM,,1032121396680.0,234475310670.0,5496312950.0,49764217260.0,189094874960.0,,2600.33373,2600.33373,66671570.0,66671570.0,1425.0,38.52855,17.3911281501,280687578970.0,220275456520.0,383725665380.0,112452800000.0,279597210170.0,492074917420.0,1176339787490.0,955680472220.0,73581406780.0,,50962461050.0,2294700255310.0,92712787660.0,172142789240.0,346932038100.0,0.0,130927621220.0,365969098430.0,205236758010.0,1730486168440.0,-17948939410.0,37050980750.0,19037060330.0,10347031270.0,234881036040.0,52856687300.0,-83142058690.0,34495813020.0,182024348740.0,186004160010.0,18.85834,0.0,13.68773,1
FMC.HM,,4913333148030.0,285771705960.0,14458382850.0,1872835220.0,267038168330.0,,4677.10237,4677.10237,57094790.0,57094790.0,1900.0,10.18028,5.0956440868,348128639900.0,264927879060.0,794376916440.0,24784598150.0,321083015720.0,940772095800.0,2150121694080.0,450281212710.0,870931620.0,,,2699782947940.0,97885903670.0,414754870800.0,619648166680.0,0.0,442463650910.0,630014419180.0,400028062520.0,1081147139720.0,164739024470.0,171148037980.0,10366252500.0,1168286070.0,178371780820.0,277861807220.0,-232520619190.0,555182868000.0,-99490026400.0003,501406298910.0,5.55792,,5.13623,1
RAL.HM,,5206497612120.0,502570222770.0,52887980040.0,103380013330.0,398241654270.0,,25561.34891,25561.34891,15562090.0,15562090.0,4750.0,29.45662,9.6530330306,648104438680.0,551098203840.0,950131220990.0,,3158778347700.0,692992637290.0,4977553982470.0,339894589630.0,70048175720.0,,,5392296916370.0,897661377380.0,2293100972810.0,2945866348060.0,837486390.0,1845774380530.0,2946703834450.0,307332278880.0,1079307837290.0,866414947550.0,2836089280.0,,21282050890.0,-238326191590.0,216019650630.0,-214070985950.0,422585868130.0,-454345842220.0,-29228211990.0,8.7864,,6.9756,1
